Australian Bureau of Statistics

"2021 Census - counting dwellings, place of enumeration"
"LGA (EN)"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"


"LGA (EN)",
"East Gippsland",26078,
"Frankston",58890,
"Gannawarra",5326,
"Glen Eira",66235,
"Glenelg",10173,
"Golden Plains",9408,
"Greater Bendigo",53173,
"Greater Dandenong",58198,
"Greater Geelong",120823,
"Greater Shepparton",28885,
"Hepburn",9511,
"Hindmarsh",3110,
"Hobsons Bay",39336,
"Horsham",9638,
"Hume",83980,
"Indigo",7750,
"Kingston (Vic.)",67622,
"Knox",62012,
"Latrobe (Vic.)",35685,
"Loddon",4323,
"Macedon Ranges",20630,
"Manningham",49918,
"Mansfield",6619,
"Maribyrnong",40501,
"Maroondah",46937,
"Melbourne",103368,
"Melton",60363,
"Mildura",25371,
"Mitchell",19590,
"Moira",14948,
"Monash",76463,
"Moonee Valley",55115,
"Moorabool",15473,
"Moreland",78310,
"Mornington Peninsula",93602,
"Mount Alexander",10141,
"Moyne",8550,
"Murrindindi",8349,
"Nillumbik",22406,
"Northern Grampians",6253,
"Port Phillip",63301,
"Pyrenees",3939,
"Queenscliffe",2902,
"South Gippsland",17145,
"Southern Grampians",8292,
"Stonnington",59609,
"Strathbogie",6164,
"Surf Coast",20678,
"Swan Hill",9554,
"Towong",3125,
"Wangaratta",13677,
"Warrnambool",16025,
"Wellington",23554,
"West Wimmera",2255,
"Whitehorse",71712,
"Whittlesea",82993,
"Wodonga",18214,
"Wyndham",100363,
"Yarra",50059,
"Yarra Ranges",61574,
"Yarriambiack",3598,
"Unincorporated Vic",1054,
"Migratory - Offshore - Shipping (Vic.)",49,
"Aurukun",343,
"Balonne",2283,
"Banana",7247,
"Barcaldine",1896,
"Barcoo",267,
"Blackall Tambo",1152,
"Boulia",307,
"Brisbane",519431,
"Bulloo",230,
"Bundaberg",46081,
"Burdekin",8259,
"Burke",546,
"Cairns",72620,
"Carpentaria",1639,
"Cassowary Coast",15123,
"Central Highlands (Qld)",14180,
"Charters Towers",5974,
"Cherbourg",332,
"Cloncurry",2123,
"Cook",3163,
"Croydon",214,
"Diamantina",228,
"Doomadgee",376,
"Douglas",6981,
"Etheridge",750,
"Flinders (Qld)",992,
"Fraser Coast",52621,
"Gladstone",29868,
"Gold Coast",270761,
"Goondiwindi",4857,
"Gympie",24767,
"Hinchinbrook",6030,
"Hope Vale",348,
"Ipswich",87352,
"Isaac",11014,
"Kowanyama",308,
"Livingstone",17841,
"Lockhart River",228,
"Lockyer Valley",16162,
"Logan",125977,
"Longreach",2169,
"Mackay",52308,
"McKinlay",497,
"Mapoon",151,
"Maranoa",6510,
"Mareeba",10199,
"Moreton Bay",188327,
"Mornington",373,
"Mount Isa",9053,
"Murweh",2269,
"Napranum",265,
"Noosa",28715,
"North Burnett",5494,
"Northern Peninsula Area",1100,
"Palm Island",562,
"Paroo",1173,
"Pormpuraaw",253,
"Quilpie",507,
"Redland",65216,
"Richmond",438,
"Rockhampton",35813,
"Scenic Rim",18468,
"Somerset",11020,
"South Burnett",16096,
"Southern Downs",17447,
"Sunshine Coast",149005,
"Tablelands",13184,
"Toowoomba",74054,
"Torres",1349,
"Torres Strait Island",1357,
"Townsville",83412,
"Weipa",1839,
"Western Downs",16165,
"Whitsunday",18043,
"Winton",872,
"Woorabinda",316,
"Wujal Wujal",93,
"Yarrabah",524,
"Migratory - Offshore - Shipping (Qld)",98,
"Adelaide",14766,
"Adelaide Hills",16270,
"Adelaide Plains",4006,
"Alexandrina",16760,
"Anangu Pitjantjatjara Yunkunytjatjara",778,
"Barossa",11044,
"Barunga West",1928,
"Berri Barmera",5257,
"Burnside",19630,
"Campbelltown (SA)",23247,
"Ceduna",1909,
"Charles Sturt",54847,
"Clare and Gilbert Valleys",4678,
"Cleve",975,
"Coober Pedy",1481,
"Copper Coast",9242,
"Elliston",849,
"Flinders Ranges",1084,
"Franklin Harbour",876,
"Gawler",11126,
"Goyder",2371,
"Grant",3745,
"Holdfast Bay",18707,
"Kangaroo Island",3350,
"Karoonda East Murray",610,
"Kimba",616,
"Kingston (SA)",1733,
"Light",6046,
"Lower Eyre Peninsula",3028,
"Loxton Waikerie",5787,
"Maralinga Tjarutja",41,
"Marion",41654,
"Mid Murray",7413,
"Mitcham",27169,
"Mount Barker",16054,
"Mount Gambier",12789,
"Mount Remarkable",1866,
"Murray Bridge",10164,
"Naracoorte Lucindale",4076,
"Northern Areas",2424,
"Norwood Payneham and St Peters",18126,
"Onkaparinga",75493,
"Orroroo Carrieton",541,
"Peterborough",1073,
"Playford",39505,
"Port Adelaide Enfield",56716,
"Port Augusta",7015,
"Port Lincoln",6970,
"Port Pirie",8589,
"Prospect",9474,
"Renmark Paringa",4669,
"Robe",1669,
"Roxby Downs",1781,
"Salisbury",57117,
"Southern Mallee",1077,
"Streaky Bay",1393,
"Tatiara",3194,
"Tea Tree Gully",41034,
"Coorong",3106,
"Tumby Bay",1681,
"Unley",17360,
"Victor Harbor",9764,
"Wakefield",3348,
"Walkerville",3663,
"Wattle Range",6114,
"West Torrens",27977,
"Whyalla",11247,
"Wudinna",616,
"Yankalilla",4403,
"Yorke Peninsula",10310,
"Unincorporated SA",2910,
"Migratory - Offshore - Shipping (SA)",11,
"Albany",18033,
"Armadale",36306,
"Ashburton",3727,
"Augusta Margaret River",8918,
"Bassendean",7187,
"Bayswater",32165,
"Belmont",20355,
"Beverley",971,
"Boddington",839,
"Boyup Brook",927,
"Bridgetown-Greenbushes",2688,
"Brookton",482,
"Broome",9419,
"Broomehill-Tambellup",577,
"Bruce Rock",425,
"Bunbury",15960,
"Busselton",21315,
"Cambridge",11522,
"Canning",37259,
"Capel",7110,
"Carnamah",371,
"Carnarvon",3763,
"Chapman Valley",694,
"Chittering",2410,
"Christmas Island",623,
"Claremont",5251,
"Cockburn",48428,
"Cocos Islands",204,
"Collie",4121,
"Coolgardie",1798,
"Coorow",947,
"Corrigin",508,
"Cottesloe",3612,
"Cranbrook",612,
"Cuballing",488,
"Cue",204,
"Cunderdin",659,
"Dalwallinu",611,
"Dandaragan",2805,
"Dardanup",6053,
"Denmark",3670,
"Derby-West Kimberley",3604,
"Donnybrook-Balingup",2821,
"Dowerin",422,
"Dumbleyung",335,
"Dundas",632,
"East Fremantle",3327,
"East Pilbara",3625,
"Esperance",6844,
"Exmouth",2662,
"Fremantle",15751,
"Gingin",4107,
"Gnowangerup",671,
"Goomalling",527,
"Gosnells",47117,
"Greater Geraldton",18018,
"Halls Creek",1674,
"Harvey",11874,
"Irwin",2163,
"Jerramungup",913,
"Joondalup",62177,
"Kalamunda",23347,
"Kalgoorlie-Boulder",13248,
"Karratha",10056,
"Katanning",1843,
"Kellerberrin",621,
"Kent",266,
"Kojonup",1037,
"Kondinin",471,
"Koorda",246,
"Kulin",396,
"Kwinana",17628,
"Lake Grace",751,
"Laverton",396,
"Leonora",839,
"Mandurah",44140,
"Manjimup",5035,
"Meekatharra",608,
"Melville",42920,
"Menzies",237,
"Merredin",1636,
"Mingenew",274,
"Moora",1156,
"Morawa",320,
"Mosman Park",4122,
"Mount Magnet",410,
"Mount Marshall",315,
"Mukinbudin",328,
"Mundaring",14962,
"Murchison",81,
"Murray",8192,
"Nannup",1014,
"Narembeen",402,
"Narrogin",2409,
"Nedlands",8407,
"Ngaanyatjarraku",607,
"Northam",5237,
"Northampton",2382,
"Nungarin",135,
"Peppermint Grove",615,
"Perenjori",254,
"Perth",17636,
"Pingelly",553,
"Plantagenet",2676,
"Port Hedland",7942,
"Quairading",499,
"Ravensthorpe",1405,
"Rockingham",54910,
"Sandstone",94,
"Serpentine-Jarrahdale",11234,
"Shark Bay",1295,
"South Perth",20882,
"Stirling",102177,
"Subiaco",8829,
"Swan",58928,
"Tammin",238,
"Three Springs",319,
"Toodyay",2382,
"Trayning",253,
"Upper Gascoyne",159,
"Victoria Park",18019,
"Victoria Plains",411,
"Vincent",18208,
"Wagin",888,
"Wandering",260,
"Wanneroo",78061,
"Waroona",2224,
"West Arthur",376,
"Westonia",147,
"Wickepin",335,
"Williams",507,
"Wiluna",273,
"Wongan-Ballidu",685,
"Woodanilling",221,
"Wyalkatchem",358,
"Wyndham-East Kimberley",4366,
"Yalgoo",139,
"Yilgarn",715,
"York",1883,
"Migratory - Offshore - Shipping (WA)",170,
"Break O'Day",4850,
"Brighton",7530,
"Burnie",9274,
"Central Coast (Tas.)",10434,
"Central Highlands (Tas.)",2752,
"Circular Head",4064,
"Clarence",25894,
"Derwent Valley",4749,
"Devonport",12071,
"Dorset",3948,
"Flinders (Tas.)",689,
"George Town",3685,
"Glamorgan-Spring Bay",4752,
"Glenorchy",21879,
"Hobart",24864,
"Huon Valley",8767,
"Kentish",2915,
"King Island",897,
"Kingborough",17301,
"Latrobe (Tas.)",5816,
"Launceston",31369,
"Meander Valley",9276,
"Northern Midlands",6444,
"Sorell",8134,
"Southern Midlands",2978,
"Tasman",2644,
"Waratah-Wynyard",6909,
"West Coast",3123,
"West Tamar",11308,
"Migratory - Offshore - Shipping (Tas.)",16,
"Alice Springs",11681,
"Barkly",2932,
"Belyuen",42,
"Central Desert",1272,
"Coomalie",1065,
"Darwin",34806,
"Darwin Waterfront Precinct",258,
"East Arnhem",1968,
"Katherine",4436,
"Litchfield",8883,
"MacDonnell",2243,
"Palmerston",14542,
"Roper Gulf",2923,
"Tiwi Islands",798,
"Victoria Daly",1232,
"Wagait",293,
"West Arnhem",2225,
"West Daly",709,
"Unincorporated NT",4175,
"Migratory - Offshore - Shipping (NT)",74,
"Unincorporated ACT",187156,
"Migratory - Offshore - Shipping (ACT)",0,
"Unincorp. Other Territories",1376,
"Migratory - Offshore - Shipping (OT)",0,
"Total",10875248,

"Data source: Census of Population and Housing, 2021, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
